Month;crash_day_no_year;total_crash;day_only
January;01-01;16,7142857142857;01
January;01-02;23,2857142857143;02
January;01-03;28,2857142857143;03
January;01-04;26,7142857142857;04
January;01-05;23,4285714285714;05
January;01-06;26,1428571428571;06
January;01-07;26,4285714285714;07
January;01-08;29,5714285714286;08
January;01-09;27,7142857142857;09
January;01-10;23,7142857142857;10
January;01-11;28,7142857142857;11
January;01-12;28,5714285714286;12
January;01-13;23,7142857142857;13
January;01-14;23,2857142857143;14
January;01-15;30,0000000000000;15
January;01-16;26,5714285714286;16
January;01-17;22,2857142857143;17
January;01-18;27,7142857142857;18
January;01-19;23,5714285714286;19
January;01-20;26,5714285714286;20
January;01-21;24,7142857142857;21
January;01-22;27,2857142857143;22
January;01-23;22,7142857142857;23
January;01-24;20,8571428571429;24
January;01-25;21,2857142857143;25
January;01-26;28,4285714285714;26
January;01-27;26,1428571428571;27
January;01-28;26,0000000000000;28
January;01-29;23,8571428571429;29
January;01-30;26,1428571428571;30
January;01-31;29,7142857142857;31
February;02-01;28,7142857142857;01
February;02-02;31,0000000000000;02
February;02-03;25,5714285714286;03
February;02-04;24,2857142857143;04
February;02-05;22,7142857142857;05
February;02-06;27,0000000000000;06
February;02-07;19,7142857142857;07
February;02-08;23,8571428571429;08
February;02-09;25,2857142857143;09
February;02-10;25,2857142857143;10
February;02-11;24,0000000000000;11
February;02-12;25,1428571428571;12
February;02-13;25,0000000000000;13
February;02-14;21,2857142857143;14
February;02-15;26,8571428571429;15
February;02-16;20,7142857142857;16
February;02-17;27,1428571428571;17
February;02-18;23,1428571428571;18
February;02-19;23,8571428571429;19
February;02-20;21,4285714285714;20
February;02-21;20,7142857142857;21
February;02-22;24,2857142857143;22
February;02-23;29,8571428571429;23
February;02-24;28,8571428571429;24
February;02-25;26,5714285714286;25
February;02-26;25,1428571428571;26
February;02-27;25,5714285714286;27
February;02-28;27,1428571428571;28
February;02-29;21,0000000000000;29
March;03-01;25,2857142857143;01
March;03-02;23,5714285714286;02
March;03-03;26,7142857142857;03
March;03-04;25,2857142857143;04
March;03-05;26,5714285714286;05
March;03-06;24,7142857142857;06
March;03-07;27,1428571428571;07
March;03-08;29,2857142857143;08
March;03-09;27,8571428571429;09
March;03-10;23,1428571428571;10
March;03-11;26,4285714285714;11
March;03-12;26,1428571428571;12
March;03-13;23,2857142857143;13
March;03-14;22,4285714285714;14
March;03-15;24,7142857142857;15
March;03-16;22,8571428571429;16
March;03-17;23,8571428571429;17
March;03-18;24,8571428571429;18
March;03-19;26,1428571428571;19
March;03-20;23,0000000000000;20
March;03-21;27,4285714285714;21
March;03-22;28,4285714285714;22
March;03-23;28,2857142857143;23
March;03-24;23,2857142857143;24
March;03-25;21,5714285714286;25
March;03-26;26,4285714285714;26
March;03-27;23,8571428571429;27
March;03-28;22,4285714285714;28
March;03-29;24,1428571428571;29
March;03-30;25,0000000000000;30
March;03-31;24,4285714285714;31
April;04-01;24,8571428571429;01
April;04-02;22,1428571428571;02
April;04-03;23,8571428571429;03
April;04-04;26,1428571428571;04
April;04-05;26,1428571428571;05
April;04-06;25,5714285714286;06
April;04-07;22,8571428571429;07
April;04-08;27,8571428571429;08
April;04-09;26,1428571428571;09
April;04-10;23,7142857142857;10
April;04-11;25,4285714285714;11
April;04-12;27,0000000000000;12
April;04-13;28,1428571428571;13
April;04-14;26,0000000000000;14
April;04-15;28,4285714285714;15
April;04-16;24,2857142857143;16
April;04-17;19,2857142857143;17
April;04-18;24,4285714285714;18
April;04-19;26,5714285714286;19
April;04-20;28,7142857142857;20
April;04-21;28,4285714285714;21
April;04-22;22,2857142857143;22
April;04-23;29,7142857142857;23
April;04-24;29,8571428571429;24
April;04-25;31,2857142857143;25
April;04-26;27,2857142857143;26
April;04-27;27,2857142857143;27
April;04-28;27,4285714285714;28
April;04-29;29,0000000000000;29
April;04-30;26,5714285714286;30
May;05-01;22,4285714285714;01
May;05-02;34,7142857142857;02
May;05-03;32,8571428571429;03
May;05-04;27,7142857142857;04
May;05-05;28,7142857142857;05
May;05-06;32,7142857142857;06
May;05-07;29,1428571428571;07
May;05-08;29,4285714285714;08
May;05-09;28,5714285714286;09
May;05-10;27,8571428571429;10
May;05-11;31,7142857142857;11
May;05-12;32,0000000000000;12
May;05-13;29,7142857142857;13
May;05-14;29,7142857142857;14
May;05-15;27,5714285714286;15
May;05-16;31,2857142857143;16
May;05-17;30,1428571428571;17
May;05-18;27,8571428571429;18
May;05-19;29,7142857142857;19
May;05-20;28,8571428571429;20
May;05-21;33,1428571428571;21
May;05-22;30,7142857142857;22
May;05-23;35,4285714285714;23
May;05-24;29,5714285714286;24
May;05-25;27,8571428571429;25
May;05-26;26,1428571428571;26
May;05-27;26,7142857142857;27
May;05-28;26,2857142857143;28
May;05-29;24,4285714285714;29
May;05-30;25,4285714285714;30
May;05-31;31,0000000000000;31
June;06-01;29,0000000000000;01
June;06-02;32,4285714285714;02
June;06-03;29,7142857142857;03
June;06-04;30,2857142857143;04
June;06-05;23,8571428571429;05
June;06-06;30,7142857142857;06
June;06-07;27,4285714285714;07
June;06-08;28,4285714285714;08
June;06-09;27,4285714285714;09
June;06-10;29,8571428571429;10
June;06-11;28,4285714285714;11
June;06-12;30,4285714285714;12
June;06-13;29,2857142857143;13
June;06-14;31,7142857142857;14
June;06-15;25,8571428571429;15
June;06-16;25,7142857142857;16
June;06-17;30,8571428571429;17
June;06-18;26,0000000000000;18
June;06-19;25,4285714285714;19
June;06-20;25,1428571428571;20
June;06-21;26,0000000000000;21
June;06-22;26,4285714285714;22
June;06-23;23,7142857142857;23
June;06-24;28,1428571428571;24
June;06-25;23,0000000000000;25
June;06-26;25,2857142857143;26
June;06-27;28,0000000000000;27
June;06-28;26,8571428571429;28
June;06-29;30,1428571428571;29
June;06-30;27,1428571428571;30
July;07-01;24,7142857142857;01
July;07-02;24,1428571428571;02
July;07-03;24,8571428571429;03
July;07-04;19,8571428571429;04
July;07-05;21,2857142857143;05
July;07-06;27,1428571428571;06
July;07-07;22,5714285714286;07
July;07-08;23,4285714285714;08
July;07-09;24,0000000000000;09
July;07-10;27,5714285714286;10
July;07-11;28,2857142857143;11
July;07-12;26,4285714285714;12
July;07-13;25,4285714285714;13
July;07-14;27,4285714285714;14
July;07-15;29,2857142857143;15
July;07-16;28,0000000000000;16
July;07-17;34,8571428571429;17
July;07-18;30,1428571428571;18
July;07-19;29,7142857142857;19
July;07-20;29,0000000000000;20
July;07-21;30,5714285714286;21
July;07-22;24,5714285714286;22
July;07-23;31,2857142857143;23
July;07-24;29,4285714285714;24
July;07-25;26,1428571428571;25
July;07-26;25,5714285714286;26
July;07-27;23,4285714285714;27
July;07-28;26,7142857142857;28
July;07-29;25,4285714285714;29
July;07-30;26,0000000000000;30
July;07-31;28,5714285714286;31
August;08-01;26,0000000000000;01
August;08-02;24,2857142857143;02
August;08-03;23,4285714285714;03
August;08-04;24,4285714285714;04
August;08-05;21,8571428571429;05
August;08-06;26,0000000000000;06
August;08-07;21,8571428571429;07
August;08-08;24,5714285714286;08
August;08-09;22,8571428571429;09
August;08-10;24,0000000000000;10
August;08-11;27,8571428571429;11
August;08-12;24,7142857142857;12
August;08-13;27,7142857142857;13
August;08-14;26,7142857142857;14
August;08-15;24,7142857142857;15
August;08-16;26,5714285714286;16
August;08-17;24,4285714285714;17
August;08-18;23,5714285714286;18
August;08-19;24,7142857142857;19
August;08-20;29,2857142857143;20
August;08-21;29,1428571428571;21
August;08-22;25,2857142857143;22
August;08-23;25,5714285714286;23
August;08-24;27,1428571428571;24
August;08-25;26,7142857142857;25
August;08-26;23,0000000000000;26
August;08-27;25,5714285714286;27
August;08-28;24,5714285714286;28
August;08-29;31,0000000000000;29
August;08-30;28,5714285714286;30
August;08-31;31,5714285714286;31
September;09-01;31,0000000000000;01
September;09-02;30,8571428571429;02
September;09-03;27,4285714285714;03
September;09-04;24,7142857142857;04
September;09-05;26,5714285714286;05
September;09-06;31,4285714285714;06
September;09-07;30,0000000000000;07
September;09-08;24,8571428571429;08
September;09-09;29,4285714285714;09
September;09-10;29,0000000000000;10
September;09-11;32,5714285714286;11
September;09-12;29,0000000000000;12
September;09-13;34,1428571428571;13
September;09-14;27,1428571428571;14
September;09-15;28,5714285714286;15
September;09-16;30,5714285714286;16
September;09-17;29,5714285714286;17
September;09-18;28,2857142857143;18
September;09-19;34,7142857142857;19
September;09-20;30,5714285714286;20
September;09-21;27,8571428571429;21
September;09-22;37,1428571428571;22
September;09-23;31,8571428571429;23
September;09-24;31,2857142857143;24
September;09-25;31,1428571428571;25
September;09-26;27,0000000000000;26
September;09-27;30,7142857142857;27
September;09-28;34,5714285714286;28
September;09-29;35,8571428571429;29
September;09-30;33,2857142857143;30
October;10-01;34,7142857142857;01
October;10-02;32,1428571428571;02
October;10-03;30,2857142857143;03
October;10-04;32,5714285714286;04
October;10-05;30,1428571428571;05
October;10-06;30,4285714285714;06
October;10-07;31,2857142857143;07
October;10-08;29,8571428571429;08
October;10-09;30,1428571428571;09
October;10-10;32,2857142857143;10
October;10-11;34,7142857142857;11
October;10-12;29,5714285714286;12
October;10-13;32,5714285714286;13
October;10-14;30,5714285714286;14
October;10-15;35,2857142857143;15
October;10-16;31,8571428571429;16
October;10-17;31,1428571428571;17
October;10-18;30,7142857142857;18
October;10-19;26,4285714285714;19
October;10-20;34,0000000000000;20
October;10-21;32,2857142857143;21
October;10-22;33,0000000000000;22
October;10-23;31,5714285714286;23
October;10-24;31,0000000000000;24
October;10-25;30,0000000000000;25
October;10-26;31,8571428571429;26
October;10-27;33,0000000000000;27
October;10-28;35,4285714285714;28
October;10-29;34,1428571428571;29
October;10-30;34,2857142857143;30
October;10-31;39,2857142857143;31
November;11-01;31,0000000000000;01
November;11-02;33,1428571428571;02
November;11-03;34,2857142857143;03
November;11-04;32,5714285714286;04
November;11-05;34,8571428571429;05
November;11-06;30,5714285714286;06
November;11-07;35,7142857142857;07
November;11-08;28,8571428571429;08
November;11-09;36,7142857142857;09
November;11-10;37,5714285714286;10
November;11-11;25,5714285714286;11
November;11-12;33,0000000000000;12
November;11-13;33,1428571428571;13
November;11-14;31,0000000000000;14
November;11-15;35,4285714285714;15
November;11-16;32,1428571428571;16
November;11-17;28,4285714285714;17
November;11-18;28,0000000000000;18
November;11-19;30,0000000000000;19
November;11-20;29,2857142857143;20
November;11-21;33,0000000000000;21
November;11-22;28,7142857142857;22
November;11-23;27,2857142857143;23
November;11-24;26,2857142857143;24
November;11-25;25,7142857142857;25
November;11-26;20,7142857142857;26
November;11-27;26,1428571428571;27
November;11-28;27,5714285714286;28
November;11-29;31,2857142857143;29
November;11-30;35,0000000000000;30
December;12-01;37,1428571428571;01
December;12-02;33,7142857142857;02
December;12-03;28,7142857142857;03
December;12-04;26,4285714285714;04
December;12-05;32,7142857142857;05
December;12-06;34,4285714285714;06
December;12-07;35,2857142857143;07
December;12-08;24,7142857142857;08
December;12-09;34,5714285714286;09
December;12-10;31,4285714285714;10
December;12-11;28,4285714285714;11
December;12-12;28,7142857142857;12
December;12-13;32,0000000000000;13
December;12-14;37,7142857142857;14
December;12-15;35,5714285714286;15
December;12-16;30,2857142857143;16
December;12-17;36,4285714285714;17
December;12-18;30,1428571428571;18
December;12-19;35,8571428571429;19
December;12-20;30,8571428571429;20
December;12-21;38,8571428571429;21
December;12-22;35,0000000000000;22
December;12-23;34,8571428571429;23
December;12-24;28,5714285714286;24
December;12-25;17,4285714285714;25
December;12-26;19,1428571428571;26
December;12-27;25,0000000000000;27
December;12-28;23,2857142857143;28
December;12-29;24,5714285714286;29
December;12-30;30,7142857142857;30
December;12-31;23,2857142857143;31
